sale_id,representative_id,doctor_id,product_id,sale_date,sales_amount,quantity,selling_territory_id,status
14,FR0001,D000100,P015,2026-05-06,24208.85,16,T007,Valid
15,FR0001,D000020,P015,2026-05-14,24208.85,16,T007,Valid
16,FR0001,D000176,P015,2026-05-24,24208.85,16,T007,Valid
17,FR0001,D000883,P015,2026-05-16,24208.85,16,T007,Valid
42,FR0001,D000176,P011,2026-05-02,7168.9,3,T007,Valid
43,FR0001,D000142,P011,2026-05-05,7168.9,3,T007,Valid
44,FR0001,D000883,P011,2026-05-23,7168.9,3,T007,Valid
45,FR0001,D000801,P011,2026-05-25,7168.9,3,T007,Valid
46,FR0001,D000100,P011,2026-05-17,7168.9,3,T007,Valid
47,FR0001,D000834,P011,2026-05-03,7168.9,3,T007,Valid
72,FR0001,D000801,P014,2026-05-07,85370.68,61,T007,Valid
73,FR0001,D000176,P014,2026-05-23,85370.68,61,T007,Valid
96,FR0001,D000100,P004,2026-05-18,45790.2,26,T007,Valid
97,FR0001,D000834,P004,2026-05-18,45790.2,26,T007,Valid
113,FR0002,D000021,P009,2026-05-02,17284.17,7,T018,Valid
114,FR0002,D000247,P009,2026-05-02,17284.17,7,T018,Valid
115,FR0002,D000980,P009,2026-05-23,17284.17,7,T018,Valid
116,FR0002,D000995,P009,2026-05-09,17284.17,7,T018,Valid
117,FR0002,D000366,P009,2026-05-27,17284.17,7,T018,Valid
118,FR0002,D000894,P009,2026-05-17,17284.17,7,T018,Valid
144,FR0002,D000995,P013,2026-05-10,8681.24,19,T018,Valid
145,FR0002,D000366,P013,2026-05-16,8681.24,19,T018,Valid
146,FR0002,D000980,P013,2026-05-24,8681.24,19,T018,Valid
147,FR0002,D000021,P013,2026-05-24,8681.24,19,T018,Valid
148,FR0002,D000894,P013,2026-05-18,8681.24,19,T018,Valid
169,FR0002,D000366,P021,2026-05-15,26301.11,13,T018,Valid
170,FR0002,D000995,P021,2026-05-17,26301.11,13,T018,Valid
185,FR0002,D000021,P016,2026-05-22,57422.77,391,T018,Valid
186,FR0002,D000980,P016,2026-05-05,57422.77,391,T018,Valid
209,FR0002,D000995,P019,2026-05-17,33140.55,15,T018,Valid
210,FR0002,D000247,P019,2026-05-16,33140.55,15,T018,Valid
236,FR0002,D000894,P020,2026-05-20,18773.61,61,T018,Valid
237,FR0002,D000980,P020,2026-05-17,18773.61,61,T018,Valid
266,FR0003,D000537,P025,2026-05-06,54277.81,22,T001,Valid
267,FR0003,D000330,P025,2026-05-01,54277.81,22,T014,Valid
290,FR0003,D000014,P012,2026-05-02,31818.36,15,T014,Valid
291,FR0003,D000585,P012,2026-05-03,31818.36,15,T014,Valid
292,FR0003,D000338,P012,2026-05-06,31818.36,15,T014,Valid
321,FR0003,D000537,P018,2026-05-08,30549.98,45,T014,Valid
322,FR0003,D000246,P018,2026-05-08,30549.98,45,T014,Valid
323,FR0003,D000014,P018,2026-05-24,30549.98,45,T014,Valid
324,FR0003,D000338,P018,2026-05-14,30549.98,45,T014,Valid
346,FR0004,D000694,P019,2026-05-17,11674.58,5,T008,Valid
347,FR0004,D000477,P019,2026-05-15,11674.58,5,T008,Valid
348,FR0004,D000898,P019,2026-05-08,11674.58,5,T008,Valid
349,FR0004,D000251,P019,2026-05-17,11674.58,5,T008,Valid
350,FR0004,D000917,P019,2026-05-09,11674.58,5,T008,Valid
351,FR0004,D000170,P019,2026-05-05,11674.58,5,T008,Valid
380,FR0004,D000898,P013,2026-05-14,17867.23,38,T008,Valid
381,FR0004,D000170,P013,2026-05-04,17867.23,38,T008,Valid
382,FR0004,D000917,P013,2026-05-14,17867.23,38,T008,Valid
383,FR0004,D000251,P013,2026-05-19,17867.23,38,T008,Valid
384,FR0004,D000694,P013,2026-05-09,17867.23,38,T008,Valid
385,FR0004,D000477,P013,2026-05-14,17867.23,38,T008,Valid
405,FR0004,D000251,P025,2026-05-13,37472.47,16,T008,Valid
406,FR0004,D000898,P025,2026-05-01,37472.47,16,T008,Valid
407,FR0004,D000917,P025,2026-05-06,37472.47,16,T008,Valid
408,FR0004,D000694,P025,2026-05-17,37472.47,16,T008,Valid
426,FR0004,D000694,P030,2026-05-06,32930.87,130,T008,Valid
427,FR0004,D000898,P030,2026-05-17,32930.87,130,T008,Valid
428,FR0004,D000477,P030,2026-05-13,32930.87,130,T008,Valid
429,FR0004,D000251,P030,2026-05-25,32930.87,130,T008,Valid
456,FR0004,D000694,P007,2026-05-21,17834.77,37,T008,Valid
457,FR0004,D000917,P007,2026-05-06,17834.77,37,T008,Valid
458,FR0004,D000170,P007,2026-05-26,17834.77,37,T008,Valid
459,FR0004,D000251,P007,2026-05-14,17834.77,37,T008,Valid
460,FR0004,D000477,P007,2026-05-20,17834.77,37,T008,Valid
461,FR0004,D000898,P007,2026-05-13,17834.77,37,T008,Valid
479,FR0004,D000251,P002,2026-05-13,27142.39,20,T008,Valid
480,FR0004,D000170,P002,2026-05-06,27142.39,20,T008,Valid
481,FR0004,D000477,P002,2026-05-24,27142.39,20,T008,Valid
482,FR0004,D000898,P002,2026-05-13,27142.39,20,T008,Valid
